제품 구분,품목코드,색상,수량,수주건명,전산상 납기,상차일,포장일,실물확인,진행,파렛트,가로,세로,높이,중량,TOTAL CODE,59 CODE,TOTAL,347 EA,TOTAL PALET,16 PALET
충주1제품,LAP0303N,WW,10,NY-174/25,2026. 6. 30,미정,2026. 6. 15,TRUE,포장완료,적재 1,790mm,495mm,675mm,32.4kg,,,,,,
충주1제품,LAP0303N,WW,8,NY-174/25,2026. 6. 30,미정,2026. 6. 15,TRUE,포장완료,적재 2,790mm,495mm,675mm,32.4kg,,,,,,
충주1제품,LAX0008,XX,4,NY-195/25,2026. 6. 30,미정,2026. 6. 15,TRUE,철물,적재 3,,,,,,,,,,
충주1제품,LAX0008,XX,2,NY-174/25,2026. 6. 30,미정,2026. 6. 15,TRUE,철물,적재 3,,,,,,,,,,
충주1제품,LAX0003,XX,18,NY-174/25,2026. 6. 30,미정,2026. 6. 15,TRUE,철물,적재 3,,,,,,,,,,
충주1제품,LAB0086,WW,2,NY-195/25,2026. 6. 30,미정,2026. 6. 15,TRUE,포장완료,적재 3,1180mm,480mm,60mm,12.8kg,,,,,,
충주1제품,LAB1086,WW,2,NY-195/25,2026. 6. 30,미정,2026. 6. 15,TRUE,포장완료,적재 3,1225mm,470mm,65mm,13.1kg,,,,,,
충주1제품,LAB1086,WW,2,NY-174/25,2026. 6. 30,미정,2026. 6. 15,TRUE,포장완료,적재 3,1225mm,470mm,65mm,13.1kg,,,,,,
충주1제품,LAC0086S,WW,2,NY-195/25,2026. 6. 30,미정,2026. 6. 15,TRUE,포장완료,적재 3,2810mm,410mm,75mm,31.6kg,,,,,,
충주1제품,LAC0086S,WW,2,NY-174/25,2026. 6. 30,미정,2026. 6. 15,TRUE,포장완료,적재 3,2810mm,410mm,75mm,31.6kg,,,,,,
충주1제품,LAC9108S,WW,2,NY-195/25,2026. 6. 30,미정,2026. 6. 15,TRUE,포장완료,적재 3,950mm,490mm,50mm,5.5kg,,,,,,
충주1제품,LAC9108S,WW,2,NY-174/25,2026. 6. 30,미정,2026. 6. 15,TRUE,포장완료,적재 3,950mm,490mm,50mm,5.5kg,,,,,,
충주1제품,LAC0086,WW,2,NY-195/25,2026. 6. 30,미정,2026. 6. 15,TRUE,포장완료,적재 3,960mm,460mm,150mm,29.3kg,,,,,,
충주1제품,LAC0086,WW,2,NY-174/25,2026. 6. 30,미정,2026. 6. 15,TRUE,포장완료,적재 3,960mm,460mm,150mm,29.3kg,,,,,,
충주2제품,ZBQ0065LN,MOK,1,NY-400/24,2026. 6. 30,미정,2026. 5. 12,TRUE,포장완료,적재 7,1960mm,665mm,50mm,16.4kg,,,,,,
충주2제품,ZBQ0082N,MOK,1,NY-400/24,2026. 6. 30,미정,2026. 5. 12,TRUE,포장완료,적재 7,880mm,470mm,90mm,8.9kg,,,,,,
충주2제품,ZBQ5065RN,MOK,1,NY-400/24,2026. 6. 30,미정,2026. 5. 12,TRUE,포장완료,적재 7,1960mm,665mm,50mm,16.kg,,,,,,
충주1제품,ZXW5065BN,BK,1,NY-400/24,2026. 6. 30,미정,2026. 06. 25,TRUE,포장완료,적재 7,630mm,405mm,120mm,4.4kg,,,,,,
충주1제품,ZCW5065S,BK,1,NY-400/24,2026. 6. 30,미정,2026. 06. 25,TRUE,포장완료,적재 7,780mm,450mm,70mm,8.kg,,,,,,
충주1제품,ZCW5065BRN,BK,1,NY-400/24,2026. 6. 30,미정,2026. 06. 25,TRUE,포장완료,적재 7,1955mm,650mm,65mm,32.2kg,,,,,,
충주1제품,ZCW0065S,BK,1,NY-400/24,2026. 6. 30,미정,2026. 06. 25,TRUE,포장완료,적재 7,715mm,445mm,145mm,20.2kg,,,,,,
충주1제품,ZCW0065BL,BK,1,NY-400/24,2026. 6. 30,미정,2026. 06. 25,TRUE,포장완료,적재 7,1940mm,650mm,70mm,31.9kg,,,,,,
F우레탄제품,FKD0018N,WW,1,NY-134A/23,2026. 6. 30,미정,2026. 06. 22,TRUE,포장완료,적재 15,1840mm,835mm,40mm,22.8kg,,,,,,
충주1제품,FAC4042BLN,WW,2,NY-201/24,2026. 6. 30,미정,2026. 06. 22,TRUE,포장완료,적재 15,1150mm,500mm,110mm,27.kg,,,,,,
충주2제품,FAB4042BL,WW,2,NY-201/24,2026. 6. 30,미정,2026. 06. 22,TRUE,포장완료,적재 15,1180mm,455mm,40mm,6.8kg,,,,,,
충주1제품,CDB0082,RCN,2,NY-230/24,2026. 6. 30,미정,2026. 6. 15,TRUE,포장완료,적재 4,755mm,435mm,40mm,6.2kg,,,,,,
충주1제품,CEC0083S,WW,2,NY-230/24,2026. 6. 30,미정,2026. 6. 15,TRUE,포장완료,적재 4,885mm,440mm,40mm,5.62kg,,,,,,
충주1제품,FGP0302,WW,1,NY-230/24,2026. 6. 30,미정,2026. 6. 15,TRUE,포장완료,적재 4,450mm,350mm,460mm,12.48kg,,,,,,
충주1제품,FGP0302,RCNBGM,1,NY-230/24,2026. 6. 30,미정,2026. 6. 15,TRUE,포장완료,적재 4,450mm,350mm,460mm,12.48kg,,,,,,
충주1제품,CEC0082BT,RCN,2,NY-230/24,2026. 6. 30,미정,2026. 06. 22,TRUE,포장완료,적재 4,850mm,765mm,50mm,12.3kg,,,,,,
충주1제품,CEC0082ST,RCN,2,NY-230/24,2026. 6. 30,미정,2026. 06. 22,TRUE,포장완료,적재 4,970mm,450mm,90mm,14.4kg,,,,,,
충주2제품,CL4006R,OHN,1,NY-230/24,2026. 6. 30,미정,2026. 06. 22,TRUE,포장완료,적재 4,670mm,645mm,40mm,4.5kg,,,,,,
충주2제품,CL3812,RCN,1,NY-230/24,2026. 6. 30,미정,2026. 06. 22,TRUE,포장완료,적재 4,1255mm,450mm,50mm,10.4kg,,,,,,
베트남상품,FDC1082A,WW,1,NY-230/24,2026. 6. 30,미정,2026. 06. 25,TRUE,포장완료,적재 4,920mm,485mm,80mm,12.5kg,,,,,,
충주1제품,FDP4302N,KAP,1,NY-230/24,2026. 6. 30,미정,2026. 06. 25,TRUE,포장완료,적재 4,455mm,415mm,430mm,12.4kg,,,,,,
충주1제품,FDC1082B,KAP,1,NY-230/24,2026. 6. 30,미정,2026. 06. 24,TRUE,포장완료,적재 4,885mm,485mm,30mm,4.8kg,,,,,,
충주1제품,CRN1012R,WW,18,NY-239/24,2026. 6. 30,미정,2026. 06. 25,TRUE,포장완료,적재 16,1295mm,1250mm,30mm,19.3kg,,,,,,
충주1제품,FAD0016NO,WW,1,FAM-TOF-02/26,2026. 6. 25,2026. 06. 30,2026. 6. 10,TRUE,포장완료,적재 5,1640mm,840mm,40mm,22.2kg,,,,,,
충주1제품,FAD0018NO,WW,1,FAM-TOF-02/26,2026. 6. 25,2026. 06. 30,2026. 6. 10,TRUE,포장완료,적재 5,1850mm,850mm,40mm,23.7kg,,,,,,
충주1제품,FDP0302A,WWRCN,9,FAM-TOF-03/26,2026. 6. 25,2026. 06. 30,2026. 06. 24,TRUE,포장완료,적재 14,520mm,460mm,580mm,21.3kg,,,,,,
충주1제품,FAD0016NO,WW,25,FAM-TOF-05/26,2026. 6. 25,2026. 06. 30,2026. 06. 22,TRUE,포장완료,적재 9,1640mm,840mm,40mm,22.2kg,,,,,,
충주1제품,FAD0018NO,WW,25,FAM-TOF-05/26,2026. 6. 25,2026. 06. 30,2026. 06. 24,TRUE,포장완료,적재 12,1850mm,850mm,40mm,23.7kg,,,,,,
충주1제품,FAD0018NO,WW,25,FAM-TOF-05/26,2026. 6. 25,2026. 06. 30,2026. 06. 24,TRUE,포장완료,적재 13,1850mm,850mm,40mm,23.7kg,,,,,,
충주1제품,FACX2301015,WW,5,FAM-NY-02/26,2026. 6. 24,미정,2026. 06. 22,TRUE,포장완료,적재 11,670mm,550mm,40mm,5.1kg,,,,,,
충주1제품,FAPX2301002,WWTS,5,FAM-NY-02/26,2026. 6. 24,미정,2026. 06. 24,TRUE,포장완료,적재 11,560mm,460mm,700mm,29.7kg,,,,,,
베트남상품,CAB0083N,WW,20,FAM-NY-03/26,2026. 6. 24,미정,2026. 6. 16,TRUE,포장완료,적재 8,1165mm,450mm,50mm,11.60kg,,,,,,
베트남상품,CAC9108SN,WW,20,FAM-NY-03/26,2026. 6. 24,미정,2026. 6. 16,TRUE,포장완료,적재 8,865mm,465mm,30mm,4.88kg,,,,,,
베트남상품,CAC0083SN,WW,20,FAM-NY-03/26,2026. 6. 24,미정,2026. 6. 19,TRUE,포장완료,적재 6,1185mm,470mm,130mm,29.42kg,,,,,,
충주1제품,ZDE0414L,UM,1,FAM-NY-04/26,2026. 6. 24,미정,2026. 6. 16,TRUE,포장완료,대차 1,640mm,375mm,295mm,12.64kg,,,,,,
충주1제품,CL2106,UM,1,FAM-NY-04/26,2026. 6. 24,미정,2026. 6. 16,TRUE,포장완료,대차 1,705mm,645mm,30mm,5.08kg,,,,,,
F우레탄제품,FDD0014,WW,33,INICS-12/26,2026. 7. 7,미정,,TRUE,포장대기,,,,,,,,,,,
충주1제품,CCA9001SN,RCN,2,INICS-12/26,2026. 7. 7,미정,,FALSE,미확인,,,,,,,,,,,
충주1제품,FAD0018NO,WW,3,INICS-12/26,2026. 7. 7,미정,,FALSE,미확인,,,,,,,,,,,
베트남상품,CAC0083SN,WW,4,INICS-12/26,2026. 7. 7,미정,,FALSE,미확인,,,,,,,,,,,
베트남상품,CAB0083N,WW,4,INICS-12/26,2026. 7. 7,미정,,FALSE,미확인,,,,,,,,,,,
충주1제품,FAC4022RN,WW,1,INICS-12/26,2026. 7. 7,미정,,FALSE,미확인,,,,,,,,,,,
F우레탄제품,FDD0016,WW,1,INICS-12/26,2026. 7. 7,미정,,FALSE,미확인,,,,,,,,,,,
베트남상품,FDD0002NNN,WW,33,INICS-12/26,2026. 7. 7,미정,,FALSE,미확인,,,,,,,,,,,
충주2제품,CCR2016EA,WW,2,FVN1-31/26,2026. 7. 3,2026. 07. 01,,FALSE,미확인,,,,,,,,,,,